condition,n,mean_delta,median_delta,ci95_low,ci95_high,frac_positive,frac_negative,empirical_p,feature_set,match,k,random_mean
submitted20_low_to_high,56,0.02707750893240029,0.0,0.010978542730977836,0.04642966610292243,0.17857142857142858,0.0,0.001998001998001998,submitted20,freq_mean_var,4,0.006751191718784843
submitted20_freq_mean_var_random_low_to_high,1000,0.006751191718784843,0.0066015974473626685,0.0063921359557343035,0.007127445224417177,0.891,0.109,,submitted20,freq_mean_var,4,0.006751191718784843
submitted20_high_to_low,57,-0.017851524449248198,-0.017851524449248198,-0.017851524449248198,-0.017851524449248198,0.0,1.0,0.055944055944055944,submitted20,freq_mean_var,4,-0.006040715212326137
submitted20_freq_mean_var_random_high_to_low,1000,-0.006040715212326137,-0.005453268565120226,-0.006488916702763811,-0.0056115576227520406,0.111,0.889,,submitted20,freq_mean_var,4,-0.006040715212326137
submitted20_low_to_low_noop,56,0.00922598448315209,-0.017851524449248198,-0.007009101322884056,0.02827298877044472,0.17857142857142858,0.8214285714285714,0.996003996003996,submitted20,freq_mean_var,4,-0.0009867287096699618
submitted20_freq_mean_var_random_low_to_low_noop,1000,-0.0009867287096699618,-0.0007213770435365279,-0.001214953559826654,-0.0007748839553418342,0.393,0.607,,submitted20,freq_mean_var,4,-0.0009867287096699618
submitted20_high_to_high_noop,57,0.0,0.0,0.0,0.0,0.0,0.0,0.6483516483516484,submitted20,freq_mean_var,4,0.0016972052161286682
submitted20_freq_mean_var_random_high_to_high_noop,1000,0.0016972052161286682,0.001068247137246881,0.0014060946053684777,0.0019909301112371342,0.647,0.352,,submitted20,freq_mean_var,4,0.0016972052161286682
submitted20_low_to_high,56,0.02707750893240029,0.0,0.010523792542048513,0.04509431514045127,0.17857142857142858,0.0,0.01898101898101898,submitted20,freq_mean_var_gap,4,0.010333511149459478
submitted20_freq_mean_var_gap_random_low_to_high,1000,0.010333511149459478,0.009743760486989937,0.009935416091378694,0.010739142891170672,0.97,0.029,,submitted20,freq_mean_var_gap,4,0.010333511149459478
submitted20_high_to_low,57,-0.017851524449248198,-0.017851524449248198,-0.017851524449248198,-0.017851524449248198,0.0,1.0,0.1108891108891109,submitted20,freq_mean_var_gap,4,-0.009796610145283921
submitted20_freq_mean_var_gap_random_high_to_low,1000,-0.009796610145283921,-0.008750686222917407,-0.010172829066323158,-0.009414469981932396,0.017,0.983,,submitted20,freq_mean_var_gap,4,-0.009796610145283921
submitted20_low_to_low_noop,56,0.00922598448315209,-0.017851524449248198,-0.006955236203147628,0.02714752717114761,0.17857142857142858,0.8214285714285714,0.983016983016983,submitted20,freq_mean_var_gap,4,-0.0011969334613853135
submitted20_freq_mean_var_gap_random_low_to_low_noop,1000,-0.0011969334613853135,-0.00140931904702757,-0.0014471004983086235,-0.0009441769494369447,0.338,0.662,,submitted20,freq_mean_var_gap,4,-0.0011969334613853135
submitted20_high_to_high_noop,57,0.0,0.0,0.0,0.0,0.0,0.0,0.6563436563436563,submitted20,freq_mean_var_gap,4,0.0017338344655608703
submitted20_freq_mean_var_gap_random_high_to_high_noop,1000,0.0017338344655608703,0.0011899873069723635,0.0014224297470855332,0.0020567472673599482,0.65,0.344,,submitted20,freq_mean_var_gap,4,0.0017338344655608703
robust20_fdr_low_to_high,56,0.924981032448031,1.052481342945791,0.8014928057178617,1.017672651403704,0.9464285714285714,0.05357142857142857,0.000999000999000999,robust20_fdr,freq_mean_var,20,0.20498928635059827
robust20_fdr_freq_mean_var_random_low_to_high,1000,0.20498928635059827,0.20375011801969145,0.2023417355974282,0.2078056284405559,1.0,0.0,,robust20_fdr,freq_mean_var,20,0.20498928635059827
robust20_fdr_high_to_low,57,-1.0246029018302327,-1.2190831390600834,-1.2506776040404801,-0.8002607940249509,0.2982456140350877,0.7017543859649122,0.000999000999000999,robust20_fdr,freq_mean_var,20,-0.21206890899121966
robust20_fdr_freq_mean_var_random_high_to_low,1000,-0.21206890899121966,-0.21154776206508027,-0.21472672669887477,-0.20933560309292856,0.0,1.0,,robust20_fdr,freq_mean_var,20,-0.21206890899121966
robust20_fdr_low_to_low_noop,56,-0.023144746686153805,0.10435556381160634,-0.1449171868593217,0.07577034153492689,0.9107142857142857,0.08928571428571429,0.06893106893106893,robust20_fdr,freq_mean_var,20,-0.004124814325381773
robust20_fdr_freq_mean_var_random_low_to_low_noop,1000,-0.004124814325381773,-0.004116734936161727,-0.004969327621415786,-0.0033173035258094704,0.372,0.628,,robust20_fdr,freq_mean_var,20,-0.004124814325381773
robust20_fdr_high_to_high_noop,57,-0.07647712269604795,-0.27095735992589864,-0.30425545690754574,0.15547385962018465,0.38596491228070173,0.6140350877192983,1.0,robust20_fdr,freq_mean_var,20,-0.0029548083152396345
robust20_fdr_freq_mean_var_random_high_to_high_noop,1000,-0.0029548083152396345,-0.0019233874066877108,-0.0035583033725237042,-0.002360748494402426,0.401,0.599,,robust20_fdr,freq_mean_var,20,-0.0029548083152396345
robust20_fdr_low_to_high,56,0.924981032448031,1.052481342945791,0.8078022824142562,1.022927532890242,0.9464285714285714,0.05357142857142857,0.000999000999000999,robust20_fdr,freq_mean_var_gap,20,0.2254582326860268
robust20_fdr_freq_mean_var_gap_random_low_to_high,1000,0.2254582326860268,0.22223701250491024,0.22266058741570346,0.22833250061739463,1.0,0.0,,robust20_fdr,freq_mean_var_gap,20,0.2254582326860268
robust20_fdr_high_to_low,57,-1.0246029018302327,-1.2190831390600834,-1.245179987333799,-0.8029850399219426,0.2982456140350877,0.7017543859649122,0.000999000999000999,robust20_fdr,freq_mean_var_gap,20,-0.23351600475102485
robust20_fdr_freq_mean_var_gap_random_high_to_low,1000,-0.23351600475102485,-0.2315970011088311,-0.23639820543678577,-0.2307941153267983,0.0,1.0,,robust20_fdr,freq_mean_var_gap,20,-0.23351600475102485
robust20_fdr_low_to_low_noop,56,-0.023144746686153805,0.10435556381160634,-0.14501714126470575,0.07839427861420986,0.9107142857142857,0.08928571428571429,0.059940059940059943,robust20_fdr,freq_mean_var_gap,20,-0.004289521301036493
robust20_fdr_freq_mean_var_gap_random_low_to_low_noop,1000,-0.004289521301036493,-0.0043837986789135456,-0.005070088280506809,-0.0034998150970013716,0.357,0.643,,robust20_fdr,freq_mean_var_gap,20,-0.004289521301036493
robust20_fdr_high_to_high_noop,57,-0.07647712269604795,-0.27095735992589864,-0.293250536930515,0.1511229518648911,0.38596491228070173,0.6140350877192983,1.0,robust20_fdr,freq_mean_var_gap,20,-0.0037682507639616196
robust20_fdr_freq_mean_var_gap_random_high_to_high_noop,1000,-0.0037682507639616196,-0.0036453358313020723,-0.004391857246397115,-0.0031765791984734145,0.368,0.632,,robust20_fdr,freq_mean_var_gap,20,-0.0037682507639616196
